"","i","test","test.number","avg.pval","avg.stat","flag"
"142",0.12,"Mean Absolute Deviation","t10",NA,0.0553393810456457,0
"143",0.12,"Distortion Factor","t11",NA,2.74995584893213,1
"144",0.13,"Chi-Square Test for Benford Distribution","t1",0,3114.70723245477,0
"145",0.13,"Euclidean Distance Test for Benford Distribution","t2",0,21.9929318038945,0
"146",0.13,"Joint Digits Test","t3",0,3114.70723245478,0
"147",0.13,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.222148674018262,0
"148",0.13,"K-S Test for Benford Distribution","t5",0,18.7511254719662,0
"149",0.13,"Chebyshev Distance Test for Benford Distribution","t6",0,17.1747995663981,0
"150",0.13,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,84.5470240063629,0
"151",0.13,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0622722642726824,0
"152",0.13,"Mantissa Arc Test","t9",0,0.150596461445355,0
"153",0.13,"Mean Absolute Deviation","t10",NA,0.0548313810456457,0
"154",0.13,"Distortion Factor","t11",NA,2.5076475554708,1
"155",0.14,"Chi-Square Test for Benford Distribution","t1",0,3039.44745101752,0
"156",0.14,"Euclidean Distance Test for Benford Distribution","t2",0,21.7089758272872,0
"157",0.14,"Joint Digits Test","t3",0,3039.44745101753,0
"158",0.14,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.233670342817396,0
"159",0.14,"K-S Test for Benford Distribution","t5",0,18.5493254719662,0
"160",0.14,"Chebyshev Distance Test for Benford Distribution","t6",0,16.9397995663981,0
"161",0.14,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,82.5409304544711,0
"162",0.14,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0618747653168939,0
"163",0.14,"Mantissa Arc Test","t9",0,0.146390168974654,0
"164",0.14,"Mean Absolute Deviation","t10",NA,0.0541509366012012,0
"165",0.14,"Distortion Factor","t11",NA,2.52949651733363,1
"166",0.15,"Chi-Square Test for Benford Distribution","t1",0,2928.42211566908,0
"167",0.15,"Euclidean Distance Test for Benford Distribution","t2",0,21.3737577139872,0
"168",0.15,"Joint Digits Test","t3",0,2928.42211566909,0
"169",0.15,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.247072997534808,0
"170",0.15,"K-S Test for Benford Distribution","t5",0,18.3019254719662,0
"171",0.15,"Chebyshev Distance Test for Benford Distribution","t6",0,16.7293995663981,0
"172",0.15,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,79.7101705386371,0
"173",0.15,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0618186478172532,0
"174",0.15,"Mantissa Arc Test","t9",0,0.142084300017638,0
"175",0.15,"Mean Absolute Deviation","t10",NA,0.0531821192947329,0
"176",0.15,"Distortion Factor","t11",NA,2.53399662388918,1
"177",0.16,"Chi-Square Test for Benford Distribution","t1",0,2875.29814721903,0
"178",0.16,"Euclidean Distance Test for Benford Distribution","t2",0,21.1122534531657,0
"179",0.16,"Joint Digits Test","t3",0,2875.29814721903,0
"180",0.16,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.260288959493573,0
"181",0.16,"K-S Test for Benford Distribution","t5",0,18.0399254719662,0
"182",0.16,"Chebyshev Distance Test for Benford Distribution","t6",0,16.4601995663981,0
"183",0.16,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,78.0595021837596,0
"184",0.16,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0598912275411312,0
