"","i","test","test.number","avg.pval","avg.stat","flag"
"684",0.62,"Euclidean Distance Test for Benford Distribution","t2",0,9.66169026837763,0
"685",0.62,"Joint Digits Test","t3",0,603.168565020215,0
"686",0.62,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.84420903659886,0
"687",0.62,"K-S Test for Benford Distribution","t5",0,8.29374295385488,0
"688",0.62,"Chebyshev Distance Test for Benford Distribution","t6",0,7.50779956639812,0
"689",0.62,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,16.2822842697192,0
"690",0.62,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",7.97266248064865e-07,0.0276930926671396,0
"691",0.62,"Mantissa Arc Test","t9",1.14700168567366e-109,0.0289999646191135,0
"692",0.62,"Mean Absolute Deviation","t10",NA,0.0240990828234735,0
"693",0.62,"Distortion Factor","t11",NA,1.13380307517998,1
"694",0.63,"Chi-Square Test for Benford Distribution","t1",0,556.959886257757,0
"695",0.63,"Euclidean Distance Test for Benford Distribution","t2",0,9.27677153368874,0
"696",0.63,"Joint Digits Test","t3",0,556.959886257758,0
"697",0.63,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.858404986268571,0
"698",0.63,"K-S Test for Benford Distribution","t5",0,7.95514295385488,0
"699",0.63,"Chebyshev Distance Test for Benford Distribution","t6",0,7.21379956639812,0
"700",0.63,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,15.0341467844526,0
"701",0.63,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.82309768319333e-06,0.0269775945467203,0
"702",0.63,"Mantissa Arc Test","t9",5.58260051612009e-96,0.0266266623142046,0
"703",0.63,"Mean Absolute Deviation","t10",NA,0.0231366309040685,0
"704",0.63,"Distortion Factor","t11",NA,1.09247486848752,1
"705",0.64,"Chi-Square Test for Benford Distribution","t1",0,531.209044383719,0
"706",0.64,"Euclidean Distance Test for Benford Distribution","t2",0,9.03210556774639,0
"707",0.64,"Joint Digits Test","t3",0,531.20904438372,0
"708",0.64,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.866103772842805,0
"709",0.64,"K-S Test for Benford Distribution","t5",0,7.70334295385488,0
"710",0.64,"Chebyshev Distance Test for Benford Distribution","t6",0,6.99279956639812,0
"711",0.64,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,14.2756321396978,0
"712",0.64,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.19781022219401e-05,0.0253455105988357,0
"713",0.64,"Mantissa Arc Test","t9",4.88664186643342e-90,0.0252798708652613,0
"714",0.64,"Mean Absolute Deviation","t10",NA,0.0225903370994257,0
"715",0.64,"Distortion Factor","t11",NA,0.964882059801418,1
"716",0.65,"Chi-Square Test for Benford Distribution","t1",0,506.412766094957,0
"717",0.65,"Euclidean Distance Test for Benford Distribution","t2",0,8.85217446137211,0
"718",0.65,"Joint Digits Test","t3",0,506.412766094958,0
"719",0.65,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.872839535187041,0
"720",0.65,"K-S Test for Benford Distribution","t5",0,7.54016043574352,0
"721",0.65,"Chebyshev Distance Test for Benford Distribution","t6",0,6.89239956639812,0
"722",0.65,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,13.6420039946246,0
"723",0.65,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",4.77851089428594e-05,0.0252620538044983,0
"724",0.65,"Mantissa Arc Test","t9",1.41366531890749e-89,0.0241449381540789,0
"725",0.65,"Mean Absolute Deviation","t10",NA,0.0219945191129083,0
"726",0.65,"Distortion Factor","t11",NA,1.02974411665838,1
"727",0.66,"Chi-Square Test for Benford Distribution","t1",0,468.76949836903,0
"728",0.66,"Euclidean Distance Test for Benford Distribution","t2",0,8.50319093350856,0
"729",0.66,"Joint Digits Test","t3",0,468.76949836903,0
"730",0.66,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.884553336661614,0
"731",0.66,"K-S Test for Benford Distribution","t5",0,7.33292091463139,0
"732",0.66,"Chebyshev Distance Test for Benford Distribution","t6",0,6.60871971068833,0
"733",0.66,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,12.68462078772,0
"734",0.66,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.77652227527625e-06,0.0249505109563232,0
"735",0.66,"Mantissa Arc Test","t9",2.6454189176984e-77,0.0225238359754753,0
"736",0.66,"Mean Absolute Deviation","t10",NA,0.0212050226959757,0
"737",0.66,"Distortion Factor","t11",NA,1.03871751263041,1
"738",0.67,"Chi-Square Test for Benford Distribution","t1",0,465.52738423747,0
"739",0.67,"Euclidean Distance Test for Benford Distribution","t2",0,8.47140412594528,0
"740",0.67,"Joint Digits Test","t3",0,465.527384237471,0
"741",0.67,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.884934153532035,0
"742",0.67,"K-S Test for Benford Distribution","t5",0,7.19817767800336,0
"743",0.67,"Chebyshev Distance Test for Benford Distribution","t6",0,6.58471851059832,0
"744",0.67,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,12.4963584884182,0
"745",0.67,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.3315053267452e-05,0.0237938711811601,0
"746",0.67,"Mantissa Arc Test","t9",2.85860471809965e-85,0.0221305701940904,0
"747",0.67,"Mean Absolute Deviation","t10",NA,0.0211044630466022,0
"748",0.67,"Distortion Factor","t11",NA,0.961424943213192,1
"749",0.68,"Chi-Square Test for Benford Distribution","t1",0,419.096860313105,0
"750",0.68,"Euclidean Distance Test for Benford Distribution","t2",0,8.01814125927139,0
"751",0.68,"Joint Digits Test","t3",0,419.096860313105,0
"752",0.68,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.898537698329133,0
"753",0.68,"K-S Test for Benford Distribution","t5",0,6.83720152832329,0
"754",0.68,"Chebyshev Distance Test for Benford Distribution","t6",0,6.21930023922796,0
"755",0.68,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,11.2715716326342,0
"756",0.68,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",4.12311299513712e-05,0.0225008810250369,0
"757",0.68,"Mantissa Arc Test","t9",4.09920769068151e-72,0.0199550859738177,0
"758",0.68,"Mean Absolute Deviation","t10",NA,0.0199975806190589,0
"759",0.68,"Distortion Factor","t11",NA,0.85887317327229,1
"760",0.69,"Chi-Square Test for Benford Distribution","t1",0,405.976986058385,0
"761",0.69,"Euclidean Distance Test for Benford Distribution","t2",0,7.98118390980919,0
"762",0.69,"Joint Digits Test","t3",0,405.976986058386,0
"763",0.69,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.900578944094553,0
"764",0.69,"K-S Test for Benford Distribution","t5",0,6.81854789547788,0
"765",0.69,"Chebyshev Distance Test for Benford Distribution","t6",0,6.26050229938247,0
"766",0.69,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,10.9758435072008,0
"767",0.69,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.41658605670514e-05,0.0234585715636012,0
"768",0.69,"Mantissa Arc Test","t9",5.37929714949342e-70,0.0197001470371738,0
"769",0.69,"Mean Absolute Deviation","t10",NA,0.0196403541998781,0
"770",0.69,"Distortion Factor","t11",NA,1.06740040490027,1
"771",0.7,"Chi-Square Test for Benford Distribution","t1",0,377.434033610118,0
"772",0.7,"Euclidean Distance Test for Benford Distribution","t2",0,7.61105689850493,0
"773",0.7,"Joint Digits Test","t3",0,377.434033610119,0
"774",0.7,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.909817741332573,0
"775",0.7,"K-S Test for Benford Distribution","t5",0,6.51453269433779,0
"776",0.7,"Chebyshev Distance Test for Benford Distribution","t6",0,5.8838834679701,0
"777",0.7,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,10.1245077534867,0
"778",0.7,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.88861054413658e-05,0.0213971264899824,0
"779",0.7,"Mantissa Arc Test","t9",1.48267404887918e-66,0.0180080557884207,0
"780",0.7,"Mean Absolute Deviation","t10",NA,0.019023328556434,0
"781",0.7,"Distortion Factor","t11",NA,0.825849616285907,1
"782",0.71,"Chi-Square Test for Benford Distribution","t1",0,341.546970860221,0
"783",0.71,"Euclidean Distance Test for Benford Distribution","t2",0,7.26458675526034,0
"784",0.71,"Joint Digits Test","t3",0,341.546970860222,0
"785",0.71,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.920091685628402,0
"786",0.71,"K-S Test for Benford Distribution","t5",0,6.27934295385488,0
"787",0.71,"Chebyshev Distance Test for Benford Distribution","t6",0,5.64019956639812,0
"788",0.71,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,9.19115369363107,0
"789",0.71,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000306152254470069,0.0214320344540185,0
"790",0.71,"Mantissa Arc Test","t9",2.65335647352187e-57,0.0163007026305425,0
"791",0.71,"Mean Absolute Deviation","t10",NA,0.0181496271665883,0
"792",0.71,"Distortion Factor","t11",NA,0.915401929122626,1
"793",0.72,"Chi-Square Test for Benford Distribution","t1",0,332.83519403031,0
"794",0.72,"Euclidean Distance Test for Benford Distribution","t2",0,7.20891154159151,0
"795",0.72,"Joint Digits Test","t3",0,332.835194030311,0
"796",0.72,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.920652773264597,0
"797",0.72,"K-S Test for Benford Distribution","t5",0,6.10501288140943,0
"798",0.72,"Chebyshev Distance Test for Benford Distribution","t6",0,5.63059956639812,0
"799",0.72,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.92698353625368,0
"800",0.72,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000523939668290772,0.0202355805834732,0
"801",0.72,"Mantissa Arc Test","t9",3.18701362809602e-56,0.0159545881853245,0
"802",0.72,"Mean Absolute Deviation","t10",NA,0.0177665282852017,0
"803",0.72,"Distortion Factor","t11",NA,0.848814888314804,1
"804",0.73,"Chi-Square Test for Benford Distribution","t1",0,314.477688862731,0
"805",0.73,"Euclidean Distance Test for Benford Distribution","t2",0,6.92466100338421,0
"806",0.73,"Joint Digits Test","t3",0,314.477688862731,0
"807",0.73,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.927435363734666,0
"808",0.73,"K-S Test for Benford Distribution","t5",0,5.90039539952079,0
"809",0.73,"Chebyshev Distance Test for Benford Distribution","t6",0,5.35979956639812,0
"810",0.73,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.42749053899141,0
"811",0.73,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00472646430832068,0.0193686371595363,0
"812",0.73,"Mantissa Arc Test","t9",5.28660113704096e-51,0.0149553899307815,0
"813",0.73,"Mean Absolute Deviation","t10",NA,0.0172924819615997,0
"814",0.73,"Distortion Factor","t11",NA,0.814228441301642,1
"815",0.74,"Chi-Square Test for Benford Distribution","t1",0,284.087718507146,0
"816",0.74,"Euclidean Distance Test for Benford Distribution","t2",0,6.61990774791894,0
"817",0.74,"Joint Digits Test","t3",0,284.087718507147,0
"818",0.74,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.935232614232104,0
"819",0.74,"K-S Test for Benford Distribution","t5",0,5.67217791763216,0
"820",0.74,"Chebyshev Distance Test for Benford Distribution","t6",0,5.14959956639812,0
"821",0.74,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,7.62597121789438,0
"822",0.74,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000885484039155897,0.0192046013913558,0
"823",0.74,"Mantissa Arc Test","t9",1.51982474194806e-49,0.0134779317683891,0
"824",0.74,"Mean Absolute Deviation","t10",NA,0.0165315900152797,0
"825",0.74,"Distortion Factor","t11",NA,0.836854788169927,1
"826",0.75,"Chi-Square Test for Benford Distribution","t1",0,261.939154892935,0
"827",0.75,"Euclidean Distance Test for Benford Distribution","t2",0,6.30834599513142,0
"828",0.75,"Joint Digits Test","t3",0,261.939154892935,0
"829",0.75,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.941656227391586,0
"830",0.75,"K-S Test for Benford Distribution","t5",0,5.38483036329807,0
"831",0.75,"Chebyshev Distance Test for Benford Distribution","t6",0,4.88579956639812,0
"832",0.75,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,6.99629173094311,0
"833",0.75,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00178221271961025,0.0181070726003053,0
"834",0.75,"Mantissa Arc Test","t9",7.30556971988812e-41,0.0122848655817572,0
"835",0.75,"Mean Absolute Deviation","t10",NA,0.0157979645746365,0
"836",0.75,"Distortion Factor","t11",NA,0.742385701659409,1
"837",0.76,"Chi-Square Test for Benford Distribution","t1",0,247.723676512563,0
"838",0.76,"Euclidean Distance Test for Benford Distribution","t2",0,6.14160020599701,0
"839",0.76,"Joint Digits Test","t3",0,247.723676512563,0
"840",0.76,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.944737981122792,0
"841",0.76,"K-S Test for Benford Distribution","t5",0,5.24823036329807,0
"842",0.76,"Chebyshev Distance Test for Benford Distribution","t6",0,4.72739956639812,0
"843",0.76,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,6.57963576475832,0
"844",0.76,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00530311434751902,0.0172127898816717,0
"845",0.76,"Mantissa Arc Test","t9",1.76718799845226e-42,0.0116374596207817,0
"846",0.76,"Mean Absolute Deviation","t10",NA,0.0153979287834262,0
"847",0.76,"Distortion Factor","t11",NA,0.671069518384822,1
"848",0.77,"Chi-Square Test for Benford Distribution","t1",0,221.420989333332,0
"849",0.77,"Euclidean Distance Test for Benford Distribution","t2",0,5.81531324034463,0
"850",0.77,"Joint Digits Test","t3",0,221.420989333333,0
"851",0.77,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.95187260724506,0
"852",0.77,"K-S Test for Benford Distribution","t5",0,5.00201288140943,0
"853",0.77,"Chebyshev Distance Test for Benford Distribution","t6",0,4.49859956639812,0
"854",0.77,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.90329355005897,0
"855",0.77,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00487843576979217,0.0171358081834466,0
"856",0.77,"Mantissa Arc Test","t9",2.8251028386167e-36,0.0104082884048181,0
"857",0.77,"Mean Absolute Deviation","t10",NA,0.0145671158944873,0
"858",0.77,"Distortion Factor","t11",NA,0.707924103161822,1
"859",0.78,"Chi-Square Test for Benford Distribution","t1",0,206.016510263579,0
"860",0.78,"Euclidean Distance Test for Benford Distribution","t2",0,5.59544280482273,0
"861",0.78,"Joint Digits Test","t3",0,206.016510263579,0
"862",0.78,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.955318576755436,0
"863",0.78,"K-S Test for Benford Distribution","t5",0,4.7437603543499,0
"864",0.78,"Chebyshev Distance Test for Benford Distribution","t6",0,4.32740564213311,0
"865",0.78,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.4569803640645,0
"866",0.78,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0141129508662599,0.015700270863324,0
"867",0.78,"Mantissa Arc Test","t9",8.34011957366354e-32,0.00962288943257673,0
"868",0.78,"Mean Absolute Deviation","t10",NA,0.0139460054631038,0
"869",0.78,"Distortion Factor","t11",NA,0.582301763073874,1
"870",0.79,"Chi-Square Test for Benford Distribution","t1",0,187.571724828631,0
"871",0.79,"Euclidean Distance Test for Benford Distribution","t2",0,5.39280538271273,0
"872",0.79,"Joint Digits Test","t3",0,187.571724828632,0
"873",0.79,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.959573718100815,0
"874",0.79,"K-S Test for Benford Distribution","t5",0,4.62015417388636,0
"875",0.79,"Chebyshev Distance Test for Benford Distribution","t6",0,4.21279991170333,0
"876",0.79,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.01403535828336,0
"877",0.79,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0067964578481064,0.0160197408852042,0
"878",0.79,"Mantissa Arc Test","t9",7.33461745653834e-31,0.00894954074830241,0
"879",0.79,"Mean Absolute Deviation","t10",NA,0.0133959129278549,0
"880",0.79,"Distortion Factor","t11",NA,0.733614031589217,1
"881",0.8,"Chi-Square Test for Benford Distribution","t1",0,164.528679181339,0
"882",0.8,"Euclidean Distance Test for Benford Distribution","t2",0,5.01341794964176,0
"883",0.8,"Joint Digits Test","t3",0,164.528679181339,0
"884",0.8,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.964902571963388,0
"885",0.8,"K-S Test for Benford Distribution","t5",0,4.25669410084971,0
"886",0.8,"Chebyshev Distance Test for Benford Distribution","t6",0,3.87238289042672,0
"887",0.8,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,4.33856924097596,0
"888",0.8,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0218011846708829,0.0137845300226574,0
"889",0.8,"Mantissa Arc Test","t9",5.54568392528401e-26,0.0077405333317087,0
"890",0.8,"Mean Absolute Deviation","t10",NA,0.012518742651053,0
"891",0.8,"Distortion Factor","t11",NA,0.462724889369992,1
"892",0.81,"Chi-Square Test for Benford Distribution","t1",0,151.016904125945,0
"893",0.81,"Euclidean Distance Test for Benford Distribution","t2",0,4.76989421205236,0
"894",0.81,"Joint Digits Test","t3",0,151.016904125946,0
"895",0.81,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.968290171741515,0
"896",0.81,"K-S Test for Benford Distribution","t5",0,4.03128283000439,0
"897",0.81,"Chebyshev Distance Test for Benford Distribution","t6",0,3.65037178959415,0
"898",0.81,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,3.91474499275424,0
"899",0.81,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0262610083235829,0.0130578076755876,0
"900",0.81,"Mantissa Arc Test","t9",4.89489934354127e-22,0.00697649326701213,0
"901",0.81,"Mean Absolute Deviation","t10",NA,0.0118552563935259,0
"902",0.81,"Distortion Factor","t11",NA,0.473030711819483,1
"903",0.82,"Chi-Square Test for Benford Distribution","t1",0,139.634567648437,0
"904",0.82,"Euclidean Distance Test for Benford Distribution","t2",0,4.57276481094667,0
"905",0.82,"Joint Digits Test","t3",0,139.634567648437,0
"906",0.82,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.971109006794267,0
"907",0.82,"K-S Test for Benford Distribution","t5",0,3.86782195661593,0
"908",0.82,"Chebyshev Distance Test for Benford Distribution","t6",0,3.48416347897085,0
"909",0.82,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,3.64072137716672,0
"910",0.82,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0835557196293229,0.0119946556463874,1
"911",0.82,"Mantissa Arc Test","t9",2.61063152109473e-21,0.00652990370424273,0
"912",0.82,"Mean Absolute Deviation","t10",NA,0.0115095251140056,0
"913",0.82,"Distortion Factor","t11",NA,0.383291794565671,1
"914",0.83,"Chi-Square Test for Benford Distribution","t1",6.61692922676593e-16,123.221206327321,0
"915",0.83,"Euclidean Distance Test for Benford Distribution","t2",0,4.26771324236875,0
"916",0.83,"Joint Digits Test","t3",6.61692922676593e-16,123.221206327321,0
"917",0.83,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.97511933506411,0
"918",0.83,"K-S Test for Benford Distribution","t5",0,3.60781975674272,0
"919",0.83,"Chebyshev Distance Test for Benford Distribution","t6",0,3.23535103803777,0
"920",0.83,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,3.17958389121972,0
"921",0.83,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0478404281929793,0.0114262800300621,0
"922",0.83,"Mantissa Arc Test","t9",3.36630313215113e-16,0.00554788052595688,0
"923",0.83,"Mean Absolute Deviation","t10",NA,0.0107817716511161,0
"924",0.83,"Distortion Factor","t11",NA,0.342995184631919,1
"925",0.84,"Chi-Square Test for Benford Distribution","t1",2.76441092239565e-13,111.943646202522,0
"926",0.84,"Euclidean Distance Test for Benford Distribution","t2",0,4.07569172612419,0
"927",0.84,"Joint Digits Test","t3",2.76441092239565e-13,111.943646202522,0
"928",0.84,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.977651541821352,0
"929",0.84,"K-S Test for Benford Distribution","t5",0,3.46413525462989,0
"930",0.84,"Chebyshev Distance Test for Benford Distribution","t6",0,3.08379956639812,0
"931",0.84,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,2.87608810362057,0
"932",0.84,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.057001659412934,0.0113693753677999,1
"933",0.84,"Mantissa Arc Test","t9",9.07003628490033e-17,0.00504362317884438,0
"934",0.84,"Mean Absolute Deviation","t10",NA,0.0101703412925718,0
"935",0.84,"Distortion Factor","t11",NA,0.460790682490413,1
"936",0.85,"Chi-Square Test for Benford Distribution","t1",3.42614825399323e-13,102.953809594087,0
"937",0.85,"Euclidean Distance Test for Benford Distribution","t2",0,3.92655546142843,0
"938",0.85,"Joint Digits Test","t3",3.42614825399323e-13,102.953809594087,0
"939",0.85,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.979204758246151,0
"940",0.85,"K-S Test for Benford Distribution","t5",3.99999999999956e-06,3.29305762785036,0
"941",0.85,"Chebyshev Distance Test for Benford Distribution","t6",2.59999999999994e-05,3.00839956639812,0
"942",0.85,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,2.63477040145361,0
"943",0.85,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0932220315169931,0.0105369657897958,1
"944",0.85,"Mantissa Arc Test","t9",7.25698976829945e-12,0.00460004507293077,0
"945",0.85,"Mean Absolute Deviation","t10",NA,0.00974706073493725,0
"946",0.85,"Distortion Factor","t11",NA,0.404638416776637,1
"947",0.86,"Chi-Square Test for Benford Distribution","t1",1.16254645909919e-10,85.2070833440154,0
"948",0.86,"Euclidean Distance Test for Benford Distribution","t2",0,3.51817546697845,0
"949",0.86,"Joint Digits Test","t3",1.16254645909919e-10,85.2070833440155,0
"950",0.86,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.983279204075066,0
"951",0.86,"K-S Test for Benford Distribution","t5",5.99999999999934e-06,2.96744784518671,0
"952",0.86,"Chebyshev Distance Test for Benford Distribution","t6",7.99999999999912e-06,2.62599956639812,0
"953",0.86,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,2.16017149213061,0
"954",0.86,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.148119238220856,0.00878463907057035,1
"955",0.86,"Mantissa Arc Test","t9",3.53731108336298e-13,0.00386042070309892,0
"956",0.86,"Mean Absolute Deviation","t10",NA,0.00893664155332778,0
"957",0.86,"Distortion Factor","t11",NA,0.225814941621652,1
"958",0.87,"Chi-Square Test for Benford Distribution","t1",6.88912309478873e-07,75.9969922846214,0
"959",0.87,"Euclidean Distance Test for Benford Distribution","t2",0,3.38885509814863,0
"960",0.87,"Joint Digits Test","t3",6.88912309478873e-07,75.9969922846215,0
"961",0.87,"JP-Square Correlation Statistic Test for Benford Distribution","t4",1e-05,0.985100631750115,0
"962",0.87,"K-S Test for Benford Distribution","t5",2.80000000000014e-05,2.90038770029581,0
"963",0.87,"Chebyshev Distance Test for Benford Distribution","t6",4.39999999999974e-05,2.61359956639812,0
"964",0.87,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,1.95331043590434,0
"965",0.87,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0834223385980847,0.0098826213548824,1
"966",0.87,"Mantissa Arc Test","t9",1.26653919849453e-08,0.00347113788695582,0
"967",0.87,"Mean Absolute Deviation","t10",NA,0.00838354630748559,0
"968",0.87,"Distortion Factor","t11",NA,0.408195196297648,1
"969",0.88,"Chi-Square Test for Benford Distribution","t1",2.24413689342562e-08,68.7854101872695,0
"970",0.88,"Euclidean Distance Test for Benford Distribution","t2",1.99999999999978e-06,3.18365064825425,0
"971",0.88,"Joint Digits Test","t3",2.24413689342562e-08,68.7854101872696,0
"972",0.88,"JP-Square Correlation Statistic Test for Benford Distribution","t4",4e-06,0.986711667873087,0
"973",0.88,"K-S Test for Benford Distribution","t5",0.000167999999999999,2.72393525462989,0
"974",0.88,"Chebyshev Distance Test for Benford Distribution","t6",0.00022,2.38919956639812,0
"975",0.88,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,1.72344300598538,0
"976",0.88,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.138005978942072,0.00884497953525283,1
"977",0.88,"Mantissa Arc Test","t9",8.53822052147983e-09,0.00305687753775327,0
"978",0.88,"Mean Absolute Deviation","t10",NA,0.00798483288362639,0
"979",0.88,"Distortion Factor","t11",NA,0.392047980171793,1
"980",0.89,"Chi-Square Test for Benford Distribution","t1",3.83541900831497e-05,53.9714034159572,0
"981",0.89,"Euclidean Distance Test for Benford Distribution","t2",2.39999999999974e-05,2.83770049048787,0
"982",0.89,"Joint Digits Test","t3",3.83541900831497e-05,53.9714034159572,0
"983",0.89,"JP-Square Correlation Statistic Test for Benford Distribution","t4",7.4e-05,0.989823905466425,0
"984",0.89,"K-S Test for Benford Distribution","t5",0.000291999999999997,2.46646808801342,0
"985",0.89,"Chebyshev Distance Test for Benford Distribution","t6",0.001172,2.12199082703924,0
"986",0.89,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,1.35099364126243,0
"987",0.89,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.178739573855936,0.00836351148184851,1
"988",0.89,"Mantissa Arc Test","t9",1.25231369111263e-06,0.00235759042508792,0
"989",0.89,"Mean Absolute Deviation","t10",NA,0.00715148277417549,0
"990",0.89,"Distortion Factor","t11",NA,0.375159705992838,1
"991",0.9,"Chi-Square Test for Benford Distribution","t1",0.000357687696116402,45.7566989565252,0
"992",0.9,"Euclidean Distance Test for Benford Distribution","t2",7.39999999999963e-05,2.57328842716596,0
"993",0.9,"Joint Digits Test","t3",0.000357687696116404,45.7566989565252,0
"994",0.9,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.000762,0.991393445271302,0
"995",0.9,"K-S Test for Benford Distribution","t5",0.00055199999999999,2.14879425915866,0
"996",0.9,"Chebyshev Distance Test for Benford Distribution","t6",0.000669999999999995,1.93683383975652,0
"997",0.9,"Freedman-Watson U-squared Test for Benford Distribution","t7",7.99999999999912e-06,1.09327269160709,0
"998",0.9,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.240066988502443,0.0070139369023212,1
"999",0.9,"Mantissa Arc Test","t9",9.81980124120293e-06,0.0019443762590896,0
"1000",0.9,"Mean Absolute Deviation","t10",NA,0.00651608395460692,0
"1001",0.9,"Distortion Factor","t11",NA,0.188802503926449,1
"1002",0.91,"Chi-Square Test for Benford Distribution","t1",0.000326788263286086,41.004197463022,0
"1003",0.91,"Euclidean Distance Test for Benford Distribution","t2",0.000351999999999992,2.36841881953783,0
"1004",0.91,"Joint Digits Test","t3",0.000326788263286082,41.0041974630221,0
"1005",0.91,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.001538,0.992652277464924,0
"1006",0.91,"K-S Test for Benford Distribution","t5",0.001276,1.99743383515266,0
"1007",0.91,"Chebyshev Distance Test for Benford Distribution","t6",0.00528,1.69992782378282,0
"1008",0.91,"Freedman-Watson U-squared Test for Benford Distribution","t7",9.9999999999989e-06,0.964017179748976,0
"1009",0.91,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.287769798805726,0.00614618724829529,1
"1010",0.91,"Mantissa Arc Test","t9",2.22820406714936e-05,0.00164960524080168,0
"1011",0.91,"Mean Absolute Deviation","t10",NA,0.00610814236634773,0
"1012",0.91,"Distortion Factor","t11",NA,0.164827690638124,1
