"","model","parameter.set.j.","measure","tr.stats.chisq.statistic","tr.stats.chisq.p.value","tr.MAD","tr.stats.mantissa.arc.test.statistic","tr.stats.mantissa.arc.test.p.value","tr.distortion.factor"
"X-squared7263","small.world",0.00455555555555556,"degree",159222.757720189,0,0.195099439456138,0.991019795028213,0,104.561219396701
"X-squared7264","small.world",0.00455555555555556,"degree",158321.572792967,0,0.19452166167836,0.990979970453847,0,104.561219396701
"X-squared7265","small.world",0.00455555555555556,"degree",161727.852175632,0,0.196677217233915,0.991997354408074,0,104.653365243099
"X-squared7266","small.world",0.00455555555555556,"degree",160315.912163878,0,0.195788328345026,0.991703333073792,0,104.538182935101
"X-squared7267","small.world",0.00455555555555556,"degree",158117.02961223,0,0.194388328345026,0.99094746646537,0,104.630328781499
"X-squared7268","small.world",0.00455555555555556,"degree",159296.908689788,0,0.195143883900582,0.991355792955707,0,104.492110011902
"X-squared7269","small.world",0.00455555555555556,"degree",160102.530601473,0,0.195654995011693,0.991562775152931,0,104.515146473502
"X-squared7270","small.world",0.00455555555555556,"degree",159232.079398361,0,0.195099439456138,0.991336305497482,0,104.6072923199
"X-squared7271","small.world",0.00455555555555556,"degree",160385.477649979,0,0.195832772789471,0.991605575201208,0,104.5842558583
"X-squared7272","small.world",0.00455555555555556,"degree",161698.347895719,0,0.196654995011693,0.992333207251687,0,104.60498867374
"X-squared7273","small.world",0.00455555555555556,"degree",160320.525733043,0,0.195788328345026,0.991748184796763,0,104.60498867374
"X-squared7274","small.world",0.00455555555555556,"degree",158532.099202722,0,0.194654995011693,0.991153975517684,0,104.538182935101
"X-squared7275","small.world",0.00455555555555556,"degree",161370.523484008,0,0.196454995011693,0.991981525607435,0,104.515146473502
"X-squared7276","small.world",0.00455555555555556,"degree",160769.273895751,0,0.196077217233915,0.99175675650499,0,104.492110011902
"X-squared7277","small.world",0.00455555555555556,"degree",160175.947492333,0,0.195699439456137,0.991640058427453,0,104.561219396701
"X-squared7278","small.world",0.00455555555555556,"degree",159650.066375207,0,0.195366106122804,0.991388349029469,0,104.6072923199
"X-squared7279","small.world",0.00455555555555556,"degree",160880.536727455,0,0.196143883900582,0.991993732838331,0,104.515146473502
"X-squared7280","small.world",0.00455555555555556,"degree",162190.814549255,0,0.196966106122804,0.99241773326749,0,104.5842558583
"X-squared7281","small.world",0.00455555555555556,"degree",161975.796193227,0,0.196832772789471,0.992277119297945,0,104.561219396701
"X-squared7282","small.world",0.00455555555555556,"degree",159552.139833172,0,0.195299439456137,0.991659764208692,0,104.6072923199
"X-squared7283","small.world",0.00455555555555556,"degree",157963.155702328,0,0.194299439456137,0.990564017780684,0,104.492110011902
"X-squared7284","small.world",0.00455555555555556,"degree",162047.780211677,0,0.196877217233915,0.992266883830889,0,104.6072923199
"X-squared7285","small.world",0.00455555555555556,"degree",160991.933881362,0,0.196210550567249,0.992076183193305,0,104.630328781499
"X-squared7286","small.world",0.00455555555555556,"degree",162039.510785791,0,0.196877217233915,0.992088008911289,0,104.492110011902
"X-squared7287","small.world",0.00455555555555556,"degree",160461.171564024,0,0.195877217233915,0.991908168557162,0,104.561219396701
"X-squared7288","small.world",0.00455555555555556,"degree",158977.648702784,0,0.194943883900582,0.991015641557142,0,104.515146473502
