model,param,measure,tr.stats.chisq.statistic,tr.stats.chisq.p.value,tr.MAD,tr.stats.mantissa.arc.test.statistic,tr.stats.mantissa.arc.test.p.value,tr.distortion.factor,chi,ks,f,chd,ed,js,jj,jd
random.graph,0.0002,betweenness,903.9304405134,1.31073465275667E-147,0.0196556372,0.0039075363,1.53944217851647E-06,6.8709060067,0,0,0,0,0,0,0,0
random.graph,0.0002,closeness,60464.2136444447,0,0.1561977426,0.560706944,0,-89.4862960927,0,0,0,0,0,0,0,0
random.graph,0.0002,clustering,6.9848931194,0.5980551993,0.1369121777,0.5062085803,0.4123681422,-81.7728771464,0,0,0,0,0,0,0,0
random.graph,0.0002,degree,3195.7730271008,0,0.0534291645,0.0502655897,1.19299592429742E-163,-40.8276802899,0,0,0,0,0,0,0,0
random.graph,0.0003,betweenness,209.247372878,7.02362956146489E-27,0.013666595,0.0063129304,5.41908646396871E-16,8.7757375241,0,0,0,0,0,0,0,0
random.graph,0.0003,closeness,23219.2809488736,0,0.1553266676,0.9088853416,0,-95.8811147501,0,0,0,0,0,0,0,0
random.graph,0.0003,clustering,13.6991847939,0.2291671204,0.1015149495,0.1016650431,0.4777588544,-86.3992139765,0,0,0,0,0,2,0,0
random.graph,0.0003,degree,3425.8791410124,0,0.0614938336,0.0855518183,5.3840913576842e-311,-19.6007099667,0,0,0,0,0,0,0,0
random.graph,0.0004,betweenness,235.5462416192,1.10249691955862E-34,0.0163159285,0.011962243,5.62844490744252E-35,-0.8803737644,0,0,0,0,0,0,0,0
random.graph,0.0004,closeness,95206.8087603456,0,0.1966025483,0.9452975325,0,-87.7861520905,0,0,0,0,0,0,0,0
random.graph,0.0004,clustering,25.0494272891,0.0404434303,0.0737942517,0.051597801,0.3585404793,-86.5210625554,0,0,0,0,0,8,0,0
random.graph,0.0004,degree,4427.4802691484,0,0.0663940235,0.1547309523,0,2.2875922467,0,0,0,0,0,0,0,0
random.graph,0.0005,betweenness,213.04348093,7.47073721296064E-31,0.0119034884,0.0115774989,4.14578026439274E-35,-6.2145166092,0,0,0,0,0,0,0,0
random.graph,0.0005,closeness,23219.2809488736,0,0.1553266676,0.9955810147,0,-96.5919991214,0,0,0,0,0,0,0,0
random.graph,0.0005,clustering,38.477911687,0.0028399767,0.0639245097,0.0515310607,0.1634196291,-87.6757738969,0,0,0,0,0,1,0,0
random.graph,0.0005,degree,5556.1378977574,0,0.0745464413,0.2153894626,0,20.8443475391,0,0,0,0,0,0,0,0
random.graph,0.0006,betweenness,305.0317601258,1.48808710224194E-46,0.0167879453,0.0146175973,1.69897136812467E-48,-8.3824969802,0,0,0,0,0,0,0,0
random.graph,0.0006,closeness,64304.8234058509,0,0.1882461897,0.9898890989,0,-91.2533103333,0,0,0,0,0,0,0,0
random.graph,0.0006,clustering,45.7050774543,8.7843580403484E-05,0.0567274406,0.0544070988,0.047592079,-89.2008048261,0,0,0,0,0,0,0,0
random.graph,0.0006,degree,6529.8977228239,0,0.0821116132,0.270580297,0,32.8417505887,0,0,0,0,0,0,0,0
random.graph,0.0007,betweenness,424.8399017297,9.37927551590567E-65,0.0183931525,0.0219685872,5.73060343931557E-74,-9.2066270602,0,0,0,0,0,0,0,0
random.graph,0.0007,closeness,127758.242383875,0,0.197471486,0.9965789042,0,-82.6563255854,0,0,0,0,0,0,0,0
random.graph,0.0007,clustering,50.9342148226,8.20976568373333E-06,0.0488747212,0.0677407559,0.0026439993,-90.6424715727,0,0,0,0,0,0,0,0
random.graph,0.0007,degree,6955.7691490327,0,0.0794473495,0.319586627,0,35.6013875607,0,0,0,0,0,0,0,0
random.graph,0.0008,betweenness,574.1362910332,5.29851400182307E-98,0.0244773317,0.0327098718,6.48580469604378E-123,-11.6556247472,0,0,0,0,0,0,0,0
random.graph,0.0008,closeness,52318.52531155,0,0.1667220651,0.9942972549,0,-92.8915130284,0,0,0,0,0,0,0,0
random.graph,0.0008,clustering,61.0095532181,2.41876338752519E-07,0.0445002533,0.0790579217,4.46642746952017E-05,-91.5084792945,0,0,0,0,0,0,0,0
random.graph,0.0008,degree,6943.3013254208,0,0.0700688667,0.364457524,0,29.5351067464,0,0,0,0,0,0,0,0
random.graph,0.0009,betweenness,862.8550969019,4.35718042162795E-157,0.0305655645,0.0450214335,2.1397189868502E-171,-12.9330096707,0,0,0,0,0,0,0,0
random.graph,0.0009,closeness,29103.7374493583,0,0.1620509057,0.9921031378,0,-95.3576761889,0,0,0,0,0,0,0,0
random.graph,0.0009,clustering,81.5289657999,2.93744006391241E-10,0.0480122388,0.0924125642,8.9330297794946E-10,-91.7314652118,0,0,0,0,0,0,0,0
random.graph,0.0009,degree,7068.2386922718,0,0.0803514519,0.4065958735,0,17.4876462999,0,0,0,0,0,0,0,0
random.graph,0.001,betweenness,1046.6944492176,1.89338317887778E-189,0.0339281039,0.0577425806,9.63608965329258E-214,-12.6706058612,0,0,0,0,0,0,0,0
random.graph,0.001,closeness,38338.1404050929,0,0.1716955462,0.9905739192,0,-94.4306780823,0,0,0,0,0,0,0,0
random.graph,0.001,clustering,116.7061488241,3.40944073750771E-14,0.0502663078,0.1066464301,2.16257843059951E-14,-91.3537766225,0,0,0,0,0,0,0,0
random.graph,0.001,degree,7785.8885704529,0,0.0913863674,0.4446406332,0,2.2178499567,0,0,0,0,0,0,0,0
small.world,0.001,betweenness,238.3231596604,7.46013540526225E-19,0.0141954999,0.0123769358,1.45238162209225E-18,5.9955232333,0,0,0,0,0,0,50,0
small.world,0.001,closeness,17807.6194546916,0,0.1209851599,0.8097303022,0,-94.6745636319,0,0,0,0,0,47,0,0
small.world,0.001,clustering,133440.960232828,0,0.2028667134,0.9902020083,0,-83.6852121355,0,0,0,0,0,0,0,0
small.world,0.001,degree,179427.322168439,0,0.2073654395,0.9981488976,0,104.7151029602,0,3,6,1,0,3,50,0
small.world,0.0014444444,betweenness,222.2498034966,3.89775987701355E-19,0.0147466581,0.0113881046,7.05993538099264E-18,6.1989206241,0,0,0,0,0,0,50,0
small.world,0.0014444444,closeness,24807.4339929567,0,0.1448466475,0.8349487215,0,-93.1554746833,0,0,0,0,0,46,0,0
small.world,0.0014444444,clustering,130723.128397482,0,0.200770269,0.9856800446,0,-83.7278557544,0,0,0,0,0,0,0,0
small.world,0.0014444444,degree,176786.727527404,0,0.2058203283,0.9973097836,0,104.7054276463,0,0,0,0,0,0,3,0
small.world,0.0018888889,betweenness,215.6648392931,1.38556168967037E-11,0.0142483106,0.010993196,6.56436410206925E-16,4.3184603694,0,0,0,0,0,0,49,0
small.world,0.0018888889,closeness,29017.9641811167,0,0.1458271313,0.8538003128,0,-91.8577345256,0,0,0,0,0,46,0,0
small.world,0.0018888889,clustering,128108.265525584,0,0.1987247134,0.981382228,0,-83.768914875,0,0,0,0,0,1,0,0
small.world,0.0018888889,degree,174277.08131599,0,0.2043361061,0.9964951668,0,104.6969041555,0,0,0,0,0,0,0,0
small.world,0.0023333333,betweenness,207.9004965711,8.92488510639786E-16,0.0142241376,0.0104413604,3.77820208743694E-21,1.6206320597,0,0,0,0,0,0,47,0
small.world,0.0023333333,closeness,31825.4962413624,0,0.1501807696,0.8671768091,0,-90.6551928549,0,0,0,0,0,46,0,0
small.world,0.0023333333,clustering,125451.454984043,0,0.196618269,0.9769382854,0,-83.8110692026,0,0,0,0,0,0,0,0
small.world,0.0023333333,degree,171717.545360461,0,0.2028065506,0.9956681038,0,104.6805482678,0,0,0,0,0,0,0,0
small.world,0.0027777778,betweenness,183.4513605919,4.23762283865095E-18,0.0138331123,0.0096645774,1.30782292536807E-21,-0.3572826897,0,0,0,0,0,0,33,0
