"","i","test","test.number","pval","statistic"
"2664",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.64330250056529
"2665",0.2,"Joint Digits Test","t3",0,265.279836735462
"2666",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.941033662481641
"2667",0.2,"K-S Test for Benford Distribution","t5",0,4.57700043360188
"2668",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.57700043360188
"2669",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.35946434639577
"2670",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00464488942684338,0.0125298564821652
"2671",0.2,"Mean Absolute Deviation","t9",NA,0.015039914965915
"2672",0.2,"Distortion Factor","t10",NA,-52.8103605103649
"2673",0.2,"Mantissa Arc Test","t11",1.90824825900202e-34,0.0129101608717085
"2674",0.2,"Chi-Square Test for Benford Distribution","t1",0,282.921285679688
"2675",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.73984829126711
"2676",0.2,"Joint Digits Test","t3",0,282.921285679688
"2677",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.935550412797677
"2678",0.2,"K-S Test for Benford Distribution","t5",0,4.37700043360188
"2679",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.37700043360188
"2680",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.11069937503379
"2681",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000134491016407168,0.0169005463580296
"2682",0.2,"Mean Absolute Deviation","t9",NA,0.0151964186810035
"2683",0.2,"Distortion Factor","t10",NA,-52.2602367468584
"2684",0.2,"Mantissa Arc Test","t11",3.28359474494879e-30,0.0113053478782221
"2685",0.2,"Chi-Square Test for Benford Distribution","t1",0,292.664486342183
"2686",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.96290124237194
"2687",0.2,"Joint Digits Test","t3",0,292.664486342183
"2688",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.932472384552865
"2689",0.2,"K-S Test for Benford Distribution","t5",0,4.58700043360188
"2690",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.58700043360188
"2691",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.61077805512647
"2692",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000195603410615419,0.0164868596619602
"2693",0.2,"Mean Absolute Deviation","t9",NA,0.0158036112332268
"2694",0.2,"Distortion Factor","t10",NA,-51.3584154111099
"2695",0.2,"Mantissa Arc Test","t11",9.53816440030142e-39,0.0146030888358116
"2696",0.2,"Chi-Square Test for Benford Distribution","t1",0,272.43730157232
"2697",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.72835275454149
"2698",0.2,"Joint Digits Test","t3",0,272.43730157232
"2699",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.937217322975268
"2700",0.2,"K-S Test for Benford Distribution","t5",0,4.47700043360188
"2701",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.47700043360188
"2702",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.34757618714251
"2703",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000771042217746931,0.0148860720119523
"2704",0.2,"Mean Absolute Deviation","t9",NA,0.0153164415871529
"2705",0.2,"Distortion Factor","t10",NA,-52.7349783460894
"2706",0.2,"Mantissa Arc Test","t11",4.95587035462339e-33,0.0123933247691862
"2707",0.2,"Chi-Square Test for Benford Distribution","t1",0,246.597606077594
"2708",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.60507669777652
"2709",0.2,"Joint Digits Test","t3",0,246.597606077594
"2710",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.942544088232305
"2711",0.2,"K-S Test for Benford Distribution","t5",0,4.62700043360188
"2712",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.62700043360188
"2713",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,4.70463364426746
"2714",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0357929851659824,0.00929230842596931
"2715",0.2,"Mean Absolute Deviation","t9",NA,0.0140984865923223
"2716",0.2,"Distortion Factor","t10",NA,-52.6328336633171
"2717",0.2,"Mantissa Arc Test","t11",9.57998981534935e-28,0.0103774322059995
"2718",0.2,"Chi-Square Test for Benford Distribution","t1",0,241.514722627313
"2719",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.68149800414517
"2720",0.2,"Joint Digits Test","t3",0,241.514722627313
"2721",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.94248070534488
"2722",0.2,"K-S Test for Benford Distribution","t5",0,4.76700043360188
"2723",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.76700043360188
"2724",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,4.62050692276407
"2725",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0912445722260471,0.00747568423888162
"2726",0.2,"Mean Absolute Deviation","t9",NA,0.0144563190157169
"2727",0.2,"Distortion Factor","t10",NA,-53.6746824043598
"2728",0.2,"Mantissa Arc Test","t11",8.15631462821828e-28,0.0103679504946103
"2729",0.2,"Chi-Square Test for Benford Distribution","t1",0,258.742126753419
"2730",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.54994701375683
"2731",0.2,"Joint Digits Test","t3",0,258.742126753419
"2732",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.93963361380648
"2733",0.2,"K-S Test for Benford Distribution","t5",0,4.35700043360188
"2734",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.35700043360188
"2735",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.04422691950478
"2736",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000335181099588189,0.015875322806901
"2737",0.2,"Mean Absolute Deviation","t9",NA,0.0151173579791147
"2738",0.2,"Distortion Factor","t10",NA,-51.7295983212339
"2739",0.2,"Mantissa Arc Test","t11",6.9161860715069e-28,0.0104057434495635
"2740",0.2,"Chi-Square Test for Benford Distribution","t1",0,267.603847426212
"2741",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.88643146864661
"2742",0.2,"Joint Digits Test","t3",0,267.603847426212
"2743",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.939841357058897
"2744",0.2,"K-S Test for Benford Distribution","t5",0,4.92700043360188
"2745",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.92700043360188
"2746",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.29330523862204
"2747",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0431694374143199,0.00895056724225983
"2748",0.2,"Mean Absolute Deviation","t9",NA,0.0142225160181597
"2749",0.2,"Distortion Factor","t10",NA,-53.0101673069564
"2750",0.2,"Mantissa Arc Test","t11",4.8945849978095e-29,0.0108735343128064
"2751",0.25,"Chi-Square Test for Benford Distribution","t1",0,284.888640154001
"2752",0.25,"Euclidean Distance Test for Benford Distribution","t2",0,7.0922342646422
"2753",0.25,"Joint Digits Test","t3",0,284.888640154001
"2754",0.25,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.935364874334896
"2755",0.25,"K-S Test for Benford Distribution","t5",0,4.99700043360188
"2756",0.25,"Chebyshev Distance Test for Benford Distribution","t6",0,4.99700043360188
"2757",0.25,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.522240366478
"2758",0.25,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0189182328511628,0.010389477489458
"2759",0.25,"Mean Absolute Deviation","t9",NA,0.0155197499955482
"2760",0.25,"Distortion Factor","t10",NA,-47.5512821846029
"2761",0.25,"Mantissa Arc Test","t11",1.95772599532635e-33,0.0120309144529693
"2762",0.25,"Chi-Square Test for Benford Distribution","t1",0,269.693229292047
"2763",0.25,"Euclidean Distance Test for Benford Distribution","t2",0,6.93902566051405
"2764",0.25,"Joint Digits Test","t3",0,269.693229292048
"2765",0.25,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.936773228120651
"2766",0.25,"K-S Test for Benford Distribution","t5",0,4.81700043360188
"2767",0.25,"Chebyshev Distance Test for Benford Distribution","t6",0,4.81700043360188
"2768",0.25,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.12613078376522
"2769",0.25,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0220067829913757,0.0101376681961983
"2770",0.25,"Mean Absolute Deviation","t9",NA,0.0149529687636261
"2771",0.25,"Distortion Factor","t10",NA,-47.2899585173444
"2772",0.25,"Mantissa Arc Test","t11",6.27313892939807e-31,0.0111896799721229
"2773",0.25,"Chi-Square Test for Benford Distribution","t1",0,243.097348522885
"2774",0.25,"Euclidean Distance Test for Benford Distribution","t2",0,6.61789773222321
"2775",0.25,"Joint Digits Test","t3",0,243.097348522885
"2776",0.25,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.943435343639061
"2777",0.25,"K-S Test for Benford Distribution","t5",0,4.71700043360188
"2778",0.25,"Chebyshev Distance Test for Benford Distribution","t6",0,4.71700043360188
"2779",0.25,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,4.75324204524836
"2780",0.25,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0532765774366883,0.00855486692428029
"2781",0.25,"Mean Absolute Deviation","t9",NA,0.0138886311327217
"2782",0.25,"Distortion Factor","t10",NA,-47.2461856148614
"2783",0.25,"Mantissa Arc Test","t11",2.30023994606121e-27,0.00983434088006591
"2784",0.25,"Chi-Square Test for Benford Distribution","t1",0,264.970831763932
"2785",0.25,"Euclidean Distance Test for Benford Distribution","t2",0,6.69595657551664
"2786",0.25,"Joint Digits Test","t3",0,264.970831763932
"2787",0.25,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.939721443579621
"2788",0.25,"K-S Test for Benford Distribution","t5",0,4.57700043360188
"2789",0.25,"Chebyshev Distance Test for Benford Distribution","t6",0,4.57700043360188
"2790",0.25,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.10173719781061
"2791",0.25,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00771985540955944,0.0117924149804761
"2792",0.25,"Mean Absolute Deviation","t9",NA,0.014374966643715
"2793",0.25,"Distortion Factor","t10",NA,-47.3490208771835
"2794",0.25,"Mantissa Arc Test","t11",7.78996207227788e-28,0.0100015296607488
"2795",0.25,"Chi-Square Test for Benford Distribution","t1",0,249.933249257436
"2796",0.25,"Euclidean Distance Test for Benford Distribution","t2",0,6.75184477461378
"2797",0.25,"Joint Digits Test","t3",0,249.933249257436
"2798",0.25,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.941326399267719
"2799",0.25,"K-S Test for Benford Distribution","t5",0,4.79700043360188
"2800",0.25,"Chebyshev Distance Test for Benford Distribution","t6",0,4.79700043360188
