"model","parameter.set.j.","measure","tr.stats.chisq.statistic","tr.stats.chisq.p.value","tr.MAD","tr.stats.mantissa.arc.test.statistic","tr.stats.mantissa.arc.test.p.value","tr.distortion.factor"
"random.graph",1e-04,"degree",4309.7734232847,0,0.0879619805447045,0.213086973557818,0,-59.5227001153639
"random.graph",1e-04,"degree",4297.79662361865,0,0.0875009732884676,0.209430335386689,0,-59.3944489923302
"random.graph",1e-04,"degree",4296.55710152643,0,0.0876468670330132,0.205032706934282,0,-59.1746710731713
"random.graph",1e-04,"degree",4374.30558971041,0,0.0891156995380281,0.216256003342143,0,-59.6445153189599
"random.graph",1e-04,"degree",4490.28501168396,0,0.0887746293647606,0.222734868238311,0,-60.0186055887165
"random.graph",1e-04,"degree",4439.56878362024,0,0.0892485336778287,0.2221578943218,0,-60.0145387623903
"random.graph",1e-04,"degree",4192.77075073644,0,0.0860357862469443,0.204065733474936,0,-59.1855440549278
"random.graph",1e-04,"degree",4343.01945639149,0,0.087776847165314,0.214584510514929,0,-59.7242243677263
"random.graph",1e-04,"degree",4329.82491702925,0,0.088479681376656,0.214766234187275,0,-59.6424292266764
"random.graph",1e-04,"degree",4341.33951357185,0,0.0880237981637845,0.212652885553942,0,-59.4551423358065
"random.graph",1e-04,"degree",4347.95006098422,0,0.0872477245255977,0.20948799779246,0,-59.4479090525837
"random.graph",1e-04,"degree",4348.96280391239,0,0.0872249086799371,0.207541526287171,0,-59.4260507985221
"random.graph",1e-04,"degree",4399.58552511659,0,0.0877088156239396,0.212742154605495,0,-59.5827310413303
"random.graph",1e-04,"degree",4410.81106211749,0,0.0889786215498465,0.222132073681727,0,-59.9033602054121
"random.graph",1e-04,"degree",4220.6417779602,0,0.0861984342913258,0.203127349149086,0,-59.1101440730924
"random.graph",1e-04,"degree",4268.42304704607,0,0.0867783558636366,0.203136285609675,0,-59.1682873774394
"random.graph",1e-04,"degree",4318.45714429902,0,0.0872891776474262,0.207878145214063,0,-59.4046783306134
"random.graph",1e-04,"degree",4501.08011643335,0,0.0895774501111373,0.221056379658398,0,-59.9040440763495
"random.graph",1e-04,"degree",4271.31805016099,0,0.0869979405915647,0.205959422806763,0,-59.1973315170083
"random.graph",1e-04,"degree",4288.16208421345,0,0.0868093580674995,0.208356043021315,0,-59.4373151737231
"random.graph",1e-04,"degree",4368.88572200922,0,0.0867960947038771,0.204944228464334,0,-59.2216643593773
"random.graph",1e-04,"degree",4315.7585508507,0,0.0881540543459958,0.217216563268578,0,-59.7654894051707
"random.graph",1e-04,"degree",4353.71853769803,0,0.0878035051172519,0.210533992391847,0,-59.4069474803886
"random.graph",1e-04,"degree",4209.70478325082,0,0.0870443853160344,0.206130497652727,0,-59.180809274184
"random.graph",1e-04,"degree",4350.13225977121,0,0.0871764475847232,0.208038370638247,0,-59.3908972728677
"random.graph",1e-04,"degree",4325.55261518116,0,0.0874182983116977,0.207400383140228,0,-59.2060525502657
"random.graph",1e-04,"degree",4493.4934040751,0,0.0901622115397536,0.228972643021992,0,-60.2590565119404
"random.graph",1e-04,"degree",4240.57712966468,0,0.0863867014658432,0.205243579297922,0,-59.3087828092313
"random.graph",1e-04,"degree",4331.02743861852,0,0.0875617957108074,0.206640930920354,0,-59.1964287420714
"random.graph",1e-04,"degree",4279.52215932906,0,0.087489192752957,0.211698865990474,0,-59.628630656727
"random.graph",1e-04,"degree",4293.25655869547,0,0.0869989657935225,0.208278760339443,0,-59.4403890076318
"random.graph",1e-04,"degree",4486.99105377265,0,0.0900870073342495,0.230018283219025,0,-60.2363309220768
"random.graph",1e-04,"degree",4300.65045211506,0,0.0867937822111903,0.203859118488654,0,-59.1985444637212
"random.graph",1e-04,"degree",4368.24648122654,0,0.0878101195094508,0.211244093414538,0,-59.4676274650437
"random.graph",1e-04,"degree",4291.7488823014,0,0.0887763849689869,0.21280294326636,0,-59.5603018735495
"random.graph",1e-04,"degree",4175.15807084161,0,0.0860604348746216,0.201181413666792,0,-59.1480961268505
"random.graph",1e-04,"degree",4410.01425200619,0,0.0896182674430209,0.221238890054525,0,-59.9021269615728
"random.graph",1e-04,"degree",4215.06618143816,0,0.0864038518758106,0.201633030507906,0,-59.046988932674
"random.graph",1e-04,"degree",4380.92133360185,0,0.0887926953775505,0.216594334910377,0,-59.6569167738588
"random.graph",1e-04,"degree",4413.01098824103,0,0.0887125855392805,0.219489884921675,0,-59.8926717524652
"random.graph",1e-04,"degree",4379.67309116731,0,0.0890096437526851,0.214977652706408,0,-59.6200838186953
"random.graph",1e-04,"degree",4454.82609076656,0,0.0895103519558735,0.22210352587273,0,-59.86238891965
"random.graph",1e-04,"degree",4387.60205275273,0,0.0885841480758397,0.215277428224945,0,-59.6193175217709
